epoch,generator_loss,discriminator_loss
1,0.88493145,1.1061612
2,1.185392,0.5432511
3,1.3773113,0.33665648
4,1.9335355,0.18542738
5,2.5182087,0.11260942
6,3.022508,0.061309226
7,3.3765385,0.12999927
8,3.1573248,0.26067936
9,2.4328566,0.52972585
10,2.2566931,0.5464786
11,2.3798401,0.480848
12,2.5054553,0.422068
13,2.5818431,0.40305406
14,2.676378,0.38346162
15,2.735073,0.3790306
16,2.7990072,0.35344067
17,2.8335617,0.3576414
18,2.8773043,0.39342263
19,2.9060934,0.33209208
20,2.9793768,0.33071977
21,2.9892461,0.34492806
22,3.0128152,0.32892486
23,3.0520072,0.33140185
24,3.1015012,0.3382414
25,3.1146734,0.34293362
26,3.1253119,0.32068583
27,3.154696,0.31722748
28,3.1600065,0.4128132
29,3.1988823,0.29210016
30,3.2506375,0.2959804
31,3.2586076,0.38599986
32,3.3194182,0.27353072
33,3.3365653,0.3126675
34,3.3358448,0.28605726
35,3.4161718,0.30003724
36,3.3964093,0.3110914
37,3.4567575,0.26108503
38,3.4648206,0.31003445
39,3.5096982,0.2642052
40,3.5565472,0.31591803
41,3.586263,0.26130825
42,3.5707028,0.34229466
43,3.587142,0.26805755
44,3.6500542,0.26550686
45,3.7060764,0.24946174
46,3.7064002,0.49664363
47,3.5946467,0.24974377
48,3.7017193,0.22729304
49,3.7610073,0.22945452
50,3.7293632,0.3563683
