epoch,gen_loss,disc_loss
1,0.59532535,1.2623473
2,0.5630964,1.3239152
3,0.5722102,1.3231469
4,0.60773206,1.3094122
5,0.653474,1.3346802
6,0.6866931,1.331661
7,0.70055187,1.3486197
8,0.7016438,1.3509071
9,0.70492566,1.3553749
10,0.71011686,1.3527834
11,0.7051662,1.3673278
12,0.70259064,1.374223
13,0.70260984,1.3787183
14,0.697139,1.3838077
15,0.6980828,1.3876011
16,0.69602156,1.3879268
17,0.69498956,1.3884944
18,0.6925291,1.3906474
19,0.6917851,1.390811
20,0.69293064,1.3899448
21,0.69363743,1.3899603
22,0.6943901,1.388653
23,0.69366884,1.3878683
24,0.69358695,1.3882877
25,0.69308674,1.3881911
26,0.69336796,1.3876327
27,0.69374853,1.3874192
28,0.69403344,1.3873659
29,0.69401664,1.3872122
30,0.6956461,1.3868243
31,0.69128776,1.3855064
32,0.6958998,1.3856623
33,0.6964343,1.3852804
34,0.6966325,1.3857746
35,0.6964753,1.3857505
36,0.6989666,1.3857815
37,0.7015509,1.3838125
38,0.6954472,1.3832264
39,0.69940853,1.3843237
40,0.69973975,1.3839304
41,0.6971768,1.383886
42,0.6993889,1.3848784
43,0.6994601,1.3859465
44,0.6975588,1.3853227
45,0.69416887,1.3864093
46,0.693187,1.3868821
47,0.6962299,1.386948
48,0.6959742,1.3870835
49,0.69733346,1.386548
50,0.69309396,1.3869088
